
code	|	name	|	preferred name	|	lineage
2	|	Siamese fighting fish	|	Betta splendens	|	158456 158455 158449 270602 50370 1489900 1489892 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	bloodfluke planorb	|	Biomphalaria glabrata	|	6526 6525 6524 216441 977779 977775 216307 216305 6448 6447 1206795 2697495 33317 33213 6072 33208 33154 2759 131567 
1	|	Bison bison bison	|	 	|	43346 9901 9900 27592 9895 35500 9845 91561 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	pepper-and-salt moth	|	Biston betularia	|	82595 82594 82596 82593 82592 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Blastobasis adustella	|	 	|	1869501 655692 173649 37581 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Blastobasis lacticolella	|	 	|	2561016 655692 173649 37581 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	great blue-spotted mudskipper	|	Boleophthalmus pectinirostris	|	150288 150287 497678 8220 8219 1489878 1489875 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Bombus campestris	|	 	|	207624 28653 28641 83311 70987 7458 34735 7434 7400 7399 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Bombus hortorum	|	 	|	85660 144704 28641 83311 70987 7458 34735 7434 7400 7399 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Bombus hypnorum	|	 	|	30191 144703 28641 83311 70987 7458 34735 7434 7400 7399 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Bombus pascuorum	|	 	|	65598 144700 28641 83311 70987 7458 34735 7434 7400 7399 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	buff-tailed bumblebee	|	Bombus terrestris	|	30195 144708 28641 83311 70987 7458 34735 7434 7400 7399 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	domestic silkworm	|	Bombyx mori	|	7091 7090 475327 7089 37569 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	gaur	|	Bos gaurus	|	9904 9903 27592 9895 35500 9845 91561 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	dzo	|	Bos grunniens x Bos taurus	|	331036 9903 27592 9895 35500 9845 91561 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	zebu cattle	|	Bos indicus	|	9915 9903 27592 9895 35500 9845 91561 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	hybrid cattle	|	Bos indicus x Bos taurus	|	30522 9903 27592 9895 35500 9845 91561 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	wild yak	|	Bos mutus	|	72004 9903 27592 9895 35500 9845 91561 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	cattle	|	Bos taurus	|	9913 9903 27592 9895 35500 9845 91561 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	Belcher's lancelet	|	Branchiostoma belcheri	|	7741 7737 7736 2682553 2682552 7735 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	Florida lancelet	|	Branchiostoma floridae	|	7739 7737 7736 2682553 2682552 7735 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	rape	|	Brassica napus	|	3708 3705 981071 3700 3699 91836 71275 1437201 91827 71240 1437183 3398 58024 78536 58023 3193 131221 35493 33090 2759 131567 
1	|	Brassica oleracea var. oleracea	|	 	|	109376 3712 3705 981071 3700 3699 91836 71275 1437201 91827 71240 1437183 3398 58024 78536 58023 3193 131221 35493 33090 2759 131567 
2+	|	agent of lymphatic filariasis	|	Brugia malayi	|	6279 6278 6296 6295 2072716 6274 6236 119089 6231 1206794 33317 33213 6072 33208 33154 2759 131567 
2+	|	agent of lymphatic filariasis	|	Wuchereria bancrofti	|	6293 6292 6296 6295 2072716 6274 6236 119089 6231 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Brugia pahangi	|	 	|	6280 6278 6296 6295 2072716 6274 6236 119089 6231 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	water buffalo	|	Bubalus bubalis	|	89462 9918 27592 9895 35500 9845 91561 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Buddleja alternifolia	|	 	|	168488 26473 216806 4149 4143 91888 71274 1437201 91827 71240 1437183 3398 58024 78536 58023 3193 131221 35493 33090 2759 131567 
2	|	common toad	|	Bufo bufo	|	8384 8383 8382 8417 8416 8342 41666 8292 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	Asiatic toad	|	Bufo gargarizans	|	30331 8383 8382 8417 8416 8342 41666 8292 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Caenorhabditis elegans	|	 	|	6239 6237 55885 6243 55879 2301119 2301116 6236 119089 6231 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Caenorhabditis remanei	|	 	|	31234 6237 55885 6243 55879 2301119 2301116 6236 119089 6231 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	white-tufted-ear marmoset	|	Callithrix jacchus	|	9483 1965096 9481 9480 9498 9479 314293 376913 9443 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	elephant shark	|	Callorhinchus milii	|	7868 7866 7865 7864 7863 7777 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	northern fur seal	|	Callorhinus ursinus	|	34884 34883 9702 379584 33554 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
